Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
FAZENDA COLUMINJUBA,Maranguape,LITORAL DE FORTALEZA,331.4,2428,632.7
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,2212.9,62.5
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,2039.6,56
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,2029.1,47.8
MARAPONGA,Fortaleza,LITORAL DE FORTALEZA,0,2022.2,0
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1989.5,0
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1986.4,44.4
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1957.7,39.7
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1887.6,18
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1818,29.1
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1800,58
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1762,36.5
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1758.1,0
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1750,50.5
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1747,0
ACARAU,Acaraú,LITORAL NORTE,1083.6,1738.6,60.5
DEFESA CIVIL DE FORTALEZA,Fortaleza,LITORAL DE FORTALEZA,0,1720.6,0
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1706.3,0
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1701.4,0
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,1694.8,149.1
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1672,50
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1671.9,38.9
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1669.7,23.7
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,1635.4,90.9
ITAREMA,Itarema,LITORAL NORTE,1137.6,1625,42.9
CACA E PESCA,Fortaleza,LITORAL DE FORTALEZA,0,1622,0
VICOSA 01,Maranguape,LITORAL DE FORTALEZA,0,1616.9,0
UBAJARA,Ubajara,IBIAPABA,1462.6,1616.1,10.5
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1586.4,-2.5
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1562.4,7.5
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,1553.5,0
ARANAU,Acaraú,LITORAL NORTE,906.8,1541.4,70
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1512,0
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1508.6,301.3
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,1491.1,97.2
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1490.8,32.4
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1487.1,23.9
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1468.5,42.1
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1467.7,11
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1461,-4.1
HOTEL VALE DAS NUVENS,Baturité,MACICO DE BATURITE,0,1455.8,0
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,1448,49.8
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1437.3,23
CARIUS,Cariús,CARIRI,805.4,1421,76.4
TARRAFAS,Tarrafas,SERTAO CENTRAL E INHAMUNS,673.1,1410,109.5
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1395,44.9
BOA VISTA,Várzea Alegre,CARIRI,713.7,1378,93.1
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,1335.3,74
SAO SEBASTIAO,Cariús,CARIRI,516.3,1332.2,158
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,1321.3,0
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1301.3,38.4
POCO DOCE,Paracuru,LITORAL DE PECEM,0,1300.9,0
SAMBAIBA,Granja,LITORAL NORTE,1032.1,1293,25.3
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1291,16.8
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,1290.5,0
GRACA,Graça,IBIAPABA,1033.3,1289,24.8
LAMEIRO,Crato,CARIRI,1132.4,1286.2,13.6
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1263.6,23.7
SOLEDADE,Aurora,CARIRI,0,1263.4,0
AEROPORTO(IGUATU),Iguatu,SERTAO CENTRAL E INHAMUNS,260.4,1263.2,385.1
