Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
FAZENDA COLUMINJUBA,Maranguape,LITORAL DE FORTALEZA,331.4,2457,641.4
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,2339.3,70.4
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,2258.9,65.9
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,2246.6,38.1
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,2209,60.6
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,2197.8,62.9
HOTEL VALE DAS NUVENS,Baturité,MACICO DE BATURITE,0,2171,0
BOA VISTA,Várzea Alegre,CARIRI,713.7,2093.2,193.3
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,2088,115.9
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,2063.3,114.3
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,2044.7,0
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,2025.9,39.4
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,2008.8,53.7
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,2001,77.7
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1977.8,41.1
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1968.6,0
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,1964.6,74.8
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,1937.7,99.8
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1902.2,18.9
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1887,0
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1873,0
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1871.9,398
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1869,32.7
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1845.8,0
IBOREPI,Lavras da Mangabeira,CARIRI,1026,1840,79.3
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1839.8,52.9
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1830,64.2
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1803.3,0
BATURITE,Baturité,MACICO DE BATURITE,1053.4,1802.6,71.1
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1791.6,0
CARIUS,Cariús,CARIRI,805.4,1781,121.1
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1759.4,46.6
TANQUES,Maranguape,LITORAL DE FORTALEZA,896.7,1754,95.6
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1747.5,50.3
NOVO GRANGEIRO,Granjeiro,CARIRI,0,1730.3,0
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1729.6,30.8
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1727.5,67.2
PARIPUEIRA,Beberibe,LITORAL DE FORTALEZA,674.8,1726.6,155.9
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1726.3,79.6
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1726,0
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1704.8,81.4
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,1699.2,0
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1697.3,48.9
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,1691.4,6355.7
AEROPORTO DE ARACATI,Aracati,JAGUARIBANA,863.7,1680.2,94.5
VILA FEITOSA,Caririaçu,CARIRI,817.7,1679.8,105.4
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,1678.6,112.2
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,1677,80.9
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1670.8,0
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1670.1,42.6
TIMONHA,Granja,LITORAL NORTE,1303.7,1670,28.1
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1663,46
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,1663,28.3
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1630.6,0
UBAJARA,Ubajara,IBIAPABA,1462.6,1617.8,10.6
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,1589.6,31.9
CARIRIACU,Caririaçu,CARIRI,1048.9,1582,50.8
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1577.4,22.2
ACUDE MUNDAU,Uruburetama,LITORAL DE PECEM,0,1575,0
RIACHO VERDE,Várzea Alegre,CARIRI,856.2,1568.1,83.2
BERRA BODE-ETS,Aquiraz,LITORAL DE FORTALEZA,1166.9,1558.5,33.6
LAMEIRO,Crato,CARIRI,1132.4,1543.8,36.3
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1542,1.2
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,1526,33.6
JUCAS,Jucás,CARIRI,911.5,1517.7,66.5
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,1514.5,44.4
GRANJA,Granja,LITORAL NORTE,1099.4,1486.7,35.2
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1484.2,29
AURORA,Aurora,CARIRI,933.2,1481,58.7
ACARAPE,Acarape,MACICO DE BATURITE,999.5,1475.5,47.6
HIDROLANDIA,Hidrolândia,IBIAPABA,815.8,1475,80.8
ITAPIUNA,Itapiúna,MACICO DE BATURITE,747.3,1465.4,96.1
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1464.1,43.3
OCARA,Ocara,MACICO DE BATURITE,656.7,1459.8,122.3
SAO SEBASTIAO,Cariús,CARIRI,516.3,1455,181.8
ACARAU,Acaraú,LITORAL NORTE,1083.6,1449,33.7
BARBALHA,Barbalha,CARIRI,1055,1444.9,37
COMUNIDADE VALDIVINO,Milagres,CARIRI,0,1442.1,0
AGROVILA,Aurora,CARIRI,0,1435.6,0
ACUDE SAO VICENTE,Santana do Acaraú,LITORAL NORTE,0,1434,0
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1430.7,22.4
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1429.2,-3
VARZEA DA CONCEICAO,Cedro,CARIRI,833,1425,71.1
EMATERCE,Cedro,CARIRI,0,1424.4,0
ABAIARA,Abaiara,CARIRI,925.9,1422,53.6
IBARETAMA,Ibaretama,SERTAO CENTRAL E INHAMUNS,728.4,1418.4,94.7
ITAPEBUSSU,Maranguape,LITORAL DE FORTALEZA,666,1414.4,112.4
IPAUMIRIM,Ipaumirim,CARIRI,908.4,1412.4,55.5
PEREIRO,Pereiro,JAGUARIBANA,979.8,1412,44.1
ANGICO,Cariús,CARIRI,767.3,1411,83.9
PESSOA ANTA,Granja,LITORAL NORTE,1082,1403,29.7
FAZENDA BOA VISTA,Itapiúna,MACICO DE BATURITE,0,1403,0
RERIUTABA,Reriutaba,IBIAPABA,884.8,1401.6,58.4
BAIXIO DE DONANA,Jucás,CARIRI,708.8,1378,94.4
SITIOS NOVOS,Caucaia,LITORAL DE FORTALEZA,551.4,1376,149.6
CHOROZINHO,Chorozinho,LITORAL DE FORTALEZA,833.7,1372.7,64.7
ITAICABA,Itaiçaba,JAGUARIBANA,661.5,1367.2,106.7
LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CARIRI,896.2,1366.6,52.5
INGAZEIRA,Aurora,CARIRI,821.6,1363.2,65.9
BIXOPA,Limoeiro do Norte,JAGUARIBANA,621.9,1361.6,118.9
DOM QUINTINO,Crato,CARIRI,734.5,1357.2,84.8
PACAJUS,Pacajus,LITORAL DE FORTALEZA,918.4,1354.7,47.5
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,1354.5,20.2
MATRIZ,Ipueiras,IBIAPABA,1034.4,1351.2,30.6
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1350.5,0
MISSAO VELHA,Missão Velha,CARIRI,995.7,1348.1,35.4
IBICUITINGA,Ibicuitinga,JAGUARIBANA,705.7,1344.8,90.6
ARACOIABA,Aracoiaba,MACICO DE BATURITE,924.3,1339.8,45
BREJINHO,Barro,CARIRI,839.1,1336,59.2
SITIO SACO,Porteiras,CARIRI,0,1336,0
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,1333.6,41.7
ARACATI,Aracati,JAGUARIBANA,904.5,1330.9,47.1
SITIO TIPI,Aurora,CARIRI,676.2,1328.1,96.4
GAMELEIRO DE S. SEBASTIAO,Missão Velha,CARIRI,880,1325.6,50.6
CUNCAS,Barro,CARIRI,439.4,1319.5,200.3
TRAPIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,686.4,1309,90.7
BAU,Iguatu,SERTAO CENTRAL E INHAMUNS,825,1307,58.4
SANTA VITORIA - LAGES,Aurora,CARIRI,0,1300.2,0
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,1300,17.6
AMANIUTUBA,Lavras da Mangabeira,CARIRI,639.6,1298.4,103
FORTIM,Fortim,JAGUARIBANA,887.8,1297,46.1
SANTA FE,Crato,CARIRI,238.3,1296,443.8
CRATO,Crato,CARIRI,1121.6,1292.7,15.3
NOVA OLINDA,Nova Olinda,CARIRI,885.3,1284,45
IPUEIRAS,Ipueiras,IBIAPABA,933.1,1280.9,37.3
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,1269.5,20.7
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,1267.6,86.3
IPAPORANGA,Ipaporanga,IBIAPABA,678.9,1265,86.3
SANTO ANTONIO,Ipaumirim,CARIRI,0,1262.2,0
AMERICA,Ipueiras,IBIAPABA,877.9,1261.3,43.7
BAIXIO,Baixio,CARIRI,851,1260.5,48.1
SERRA BOCA DA MATA L,Jardim,CARIRI,0,1258.9,0
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,1257.6,63.9
CAMARAO,Aratuba,MACICO DE BATURITE,0,1256.2,0
CACA E PESCA,Fortaleza,LITORAL DE FORTALEZA,0,1254.7,0
BOQUEIRAO DO CESARIO,Beberibe,LITORAL DE FORTALEZA,518.4,1252.7,141.7
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1246,12.7
FARIAS BRITO,Farias Brito,CARIRI,996.4,1245.8,25
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,1242.5,22.9
CAPISTRANO,Capistrano,MACICO DE BATURITE,835.5,1241.5,48.6
FLORES,Ipu,IBIAPABA,690.5,1241.1,79.7
PARACUA,Uruoca,LITORAL NORTE,961.8,1239,28.8
AC. AMANARY,Maranguape,LITORAL DE FORTALEZA,48.7,1232,2429.8
CARMELOPOLES,Campos Sales,SERTAO CENTRAL E INHAMUNS,662.1,1231.9,86.1
ACUDE JATOBA II,Ipueiras,IBIAPABA,0,1224.9,0
IRAPUA,Crateús,SERTAO CENTRAL E INHAMUNS,446.3,1223.1,174.1
BARREIRA,Barreira,MACICO DE BATURITE,832,1222.9,47
UMIRIM,Umirim,LITORAL DE PECEM,830.9,1219,46.7
PIRES FERREIRA,Pires Ferreira,IBIAPABA,814.6,1218.6,49.6
CASCUDO,Icó,JAGUARIBANA,681.6,1218,78.7
ELEVATORIO - COGERH,Itaiçaba,JAGUARIBANA,778.7,1217,56.3
BOQUEIRAO,Sobral,LITORAL NORTE,798.9,1214,52
AÇUDE MARTINÓPOLE,Martinópole,LITORAL NORTE,0,1211.2,0
MIRAIMA,Miraíma,LITORAL NORTE,678.3,1201.6,77.2
TIANGUA,Tianguá,IBIAPABA,1253.5,1201.4,-4.2
JAMACARU,Missão Velha,CARIRI,1037.5,1201,15.8
CRISTAIS,Cascavel,LITORAL DE FORTALEZA,721.8,1200.1,66.3
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1200.1,19.6
CANAUNA,Ipaumirim,CARIRI,847.9,1199.9,41.5
FAZENDA LACRAIA,Morada Nova,JAGUARIBANA,706.7,1194.6,69
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,1194.5,-4.2
MOMBACA,Mombaça,SERTAO CENTRAL E INHAMUNS,766.1,1193,55.7
MILAGRES,Milagres,CARIRI,906.3,1192.3,31.6
SERRA BREJINHO,Jardim,CARIRI,0,1192,0
SITIO SAO JOAO,Ipu,IBIAPABA,0,1191,0
JAGUARIBARA,Jaguaribara,JAGUARIBANA,723.8,1190.6,64.5
SITIO TRANQUEIRA,Lavras da Mangabeira,CARIRI,0,1186.5,0
AÇUDE GANGORRA,Granja,LITORAL NORTE,0,1180,0
MONTE ALEGRE,Barro,CARIRI,782.3,1178.4,50.6
MORADA NOVA,Morada Nova,JAGUARIBANA,704.4,1170.5,66.2
ITAREMA,Itarema,LITORAL NORTE,1137.6,1170.1,2.9
QUIXELO,Quixelô,SERTAO CENTRAL E INHAMUNS,755.7,1170,54.8
UMARI,Umari,CARIRI,777,1169.7,50.6
QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,706.4,1168.3,65.4
AC. SOBRAL,Sobral,LITORAL NORTE,11.7,1167.6,9908
JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,631.3,1162.5,84.2
CARIDADE,Caridade,SERTAO CENTRAL E INHAMUNS,590.5,1161.1,96.6
PACUJA,Pacujá,IBIAPABA,974.8,1158.9,18.9
CURUPIRA,Ocara,MACICO DE BATURITE,689.5,1157,67.8
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,1155.8,0
VILA SAO GONCALO-MARROCOS,Juazeiro do Norte,CARIRI,657.7,1154.3,75.5
MINEIROLANDIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,744.9,1154,54.9
SITIO PITOMBEIRAS DE CRUZ,Cruz,LITORAL NORTE,0,1153.1,0
CONCEICAO,Hidrolândia,IBIAPABA,803.7,1152,43.3
MUCAMBO,Mucambo,IBIAPABA,1005.9,1145,13.8
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,1145,-20
AÇUDE DIAMANTE,Coreaú,IBIAPABA,0,1144.3,0
SAO ROMAO,Altaneira,CARIRI,0,1142,0
FURNAS,Aracoiaba,MACICO DE BATURITE,978.7,1141.5,16.6
JUAZEIRO DO NORTE,Juazeiro do Norte,CARIRI,971.6,1141,17.4
ENGENHO VELHO,Barro,CARIRI,686.9,1140.8,66.1
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,1134.5,50.1
RETIRO GRANDE,Icapuí,JAGUARIBANA,829.4,1130,36.3
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,1128,0
BARRO ALTO,Iguatu,SERTAO CENTRAL E INHAMUNS,586.6,1128,92.3
ACOPIARA,Acopiara,SERTAO CENTRAL E INHAMUNS,744,1127.1,51.5
SITIO MALHADA,Limoeiro do Norte,JAGUARIBANA,751.3,1121.8,49.3
ITAPAJE,Itapajé,LITORAL DE PECEM,856.4,1120.1,30.8
AÇUDE VÁRZEA DA VOLTA,Moraújo,LITORAL NORTE,0,1119.3,0
DOM LEME,Santana do Cariri,CARIRI,0,1117.4,0
CHORO,Choró,SERTAO CENTRAL E INHAMUNS,730.5,1116,52.8
CRUZ,Quiterianópolis,SERTAO CENTRAL E INHAMUNS,435.4,1106,154
ACUDE BATENTE,Ocara,MACICO DE BATURITE,0,1102,0
PEIXE,Russas,JAGUARIBANA,631.6,1101.8,74.4
BETANIA,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,581.2,1101,89.4
LIMOEIRO DO NORTE,Limoeiro do Norte,JAGUARIBANA,741,1096.4,48
JUREMA,Paramoti,LITORAL DE PECEM,0,1095,0
SAO LUIS DO CURU,São Luís do Curu,LITORAL DE PECEM,812.5,1095,34.8
COMUNIDADE GROSSAS,Pereiro,JAGUARIBANA,896.6,1094.1,22
QUIXOA,Iguatu,SERTAO CENTRAL E INHAMUNS,782.3,1090.1,39.4
BOA AGUA,Morada Nova,JAGUARIBANA,754.8,1089.6,44.4
SITIO CANTO,Umari,CARIRI,739.4,1089.2,47.3
CARIUTABA,Farias Brito,CARIRI,774.9,1089.1,40.5
COMUNIDADE TERRA VERMELHA,Aurora,CARIRI,0,1088.6,0
ARARENDA,Ararendá,IBIAPABA,637.5,1087.2,70.6
BOTIJA,Guaramiranga,MACICO DE BATURITE,0,1086,0
SITIO SAO PEDRO,Ipaumirim,CARIRI,0,1085,0
LAGOA DA SERRA,Morada Nova,JAGUARIBANA,764.8,1083,41.6
PRATA,Bela Cruz,LITORAL NORTE,944.4,1082.6,14.6
POTIRETAMA,Potiretama,JAGUARIBANA,651.5,1082.3,66.1
RADAR QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,1078.3,0
EMA,Iracema,JAGUARIBANA,646.5,1078,66.8
ACUDE DO GOVERNO,Iguatu,SERTAO CENTRAL E INHAMUNS,526.3,1076,104.5
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,1075,22.5
SERRA BRAVA,Milagres,CARIRI,0,1074.5,0
URUOCA,Uruoca,LITORAL NORTE,885.8,1071.5,21
CRUZ,Cruz,LITORAL NORTE,869.7,1071,23.1
SANTANA DO CARIRI,Santana do Cariri,CARIRI,898.8,1070.6,19.1
SANTO ANTONIO,Ararendá,IBIAPABA,318.4,1067.4,235.2
ROLDAO,Morada Nova,JAGUARIBANA,652,1066.4,63.6
GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,815.9,1064.7,30.5
DIPAN-ESCRITORIO DO DNOCS,Varjota,IBIAPABA,0,1063.7,0
SITIO LIMA,São João do Jaguaribe,JAGUARIBANA,0,1063.4,0
ACUDE CIPOADA,Morada Nova,JAGUARIBANA,0,1060.6,0
SAO JOSE DO FAMA,Iracema,JAGUARIBANA,647.7,1059,63.5
ICOZINHO,Icó,JAGUARIBANA,498.4,1057.5,112.2
IRACEMA,Iracema,JAGUARIBANA,809.5,1055,30.3
PORANGA,Poranga,IBIAPABA,582.4,1054,81
TANGENTE,Massapê,LITORAL NORTE,750.8,1052,40.1
CAMILOS,Meruoca,LITORAL NORTE,970.8,1051.2,8.3
ALTO SANTO,Alto Santo,JAGUARIBANA,733.3,1049.5,43.1
AMANAIARA,Reriutaba,IBIAPABA,778.2,1048,34.7
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,1047.9,22.3
IBICUA,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,726.7,1044,43.7
SÃO JOÃO,Ererê,JAGUARIBANA,831.2,1043,25.5
TEJUCUOCA,Tejuçuoca,LITORAL DE PECEM,587.3,1043,77.6
