Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
TIMONHA,Granja,LITORAL NORTE,1303.7,1847,41.7
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1786.1,21.3
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1692.4,0
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1633.6,2.1
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1614.9,0
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1581.1,31.4
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1559.8,19.3
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,1542.9,12.4
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1536.5,0
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1532,0
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1524.6,10.9
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1518.1,0
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1513.8,30.2
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1495.5,-1.8
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1479.7,5.1
SEMAN,Itaitinga,LITORAL DE FORTALEZA,0,1460.1,0
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1454.1,6.8
PARIPUEIRA,Beberibe,LITORAL DE FORTALEZA,674.8,1432.8,112.3
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1432,25.7
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1394.7,22.4
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1391,3.1
MORAUJO,Moraújo,LITORAL NORTE,1041.2,1378,32.4
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1370.8,0
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1369,32.5
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1368.6,21.6
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1365.8,0
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1363.6,-16.2
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1359.9,44.7
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1356,-6.7
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,1355,5071.8
ICARAI DE AMONTADA,Amontada,LITORAL NORTE,944.2,1352,43.2
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1341.2,0
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1326.6,-5.3
ACARAPE,Acarape,MACICO DE BATURITE,999.5,1323,32.4
UBAJARA,Ubajara,IBIAPABA,1462.6,1322.6,-9.6
POCO DOCE,Paracuru,LITORAL DE PECEM,0,1298.4,0
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,1280,15.8
TIANGUA,Tianguá,IBIAPABA,1253.5,1274.5,1.7
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1265,31.4
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1260.9,235.4
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1254.6,4.5
SAO JOSE,Barreira,MACICO DE BATURITE,923.2,1254,35.8
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,1250.2,0
PACO MUNICIPAL,Itaitinga,LITORAL DE FORTALEZA,0,1246.5,0
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,1239,63.9
PIRES FERREIRA,Pires Ferreira,IBIAPABA,814.6,1238,52
