Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,2716.5,97.9
IBIAPINA,Ibiapina,IBIAPABA,1599.6,2467.5,54.3
ICARAI DE AMONTADA,Amontada,LITORAL NORTE,944.2,2460,160.6
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,2457.2,104.2
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,2319.6,68.7
ACARAU,Acaraú,LITORAL NORTE,1083.6,2319,114
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,2309.8,0
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,2296,63
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,2295.6,75.6
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,2277.4,76.5
MORAUJO,Moraújo,LITORAL NORTE,1041.2,2227,113.9
GRANJA,Granja,LITORAL NORTE,1099.4,2208.2,100.9
ITAREMA,Itarema,LITORAL NORTE,1137.6,2207,94
ARANAU,Acaraú,LITORAL NORTE,906.8,2195.7,142.1
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,2140,52.7
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,2139,87.7
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,2118,0
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,2111.1,0
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,2101.5,86.4
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,2049.4,50.5
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,2001,133.6
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1993.8,66.1
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1966.4,0
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1945.4,67.3
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,1941.2,0
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1935.7,105.9
SEMAN,Itaitinga,LITORAL DE FORTALEZA,0,1930.8,0
POCO DOCE,Paracuru,LITORAL DE PECEM,0,1911.9,0
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1907,71.1
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1891.8,403.3
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,1876.2,148.2
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1861,0
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1846.5,78.7
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1772.1,60.3
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1772,0
PACO MUNICIPAL,Itaitinga,LITORAL DE FORTALEZA,0,1755.5,0
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1734.3,28.5
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,1722.5,6474.4
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1713.6,78.2
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1682.6,15.8
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1675.5,0
PRATA,Bela Cruz,LITORAL NORTE,944.4,1665.8,76.4
TIANGUA,Tianguá,IBIAPABA,1253.5,1651.8,31.8
JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,507,1626.3,220.8
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1613,5.9
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1609,37.4
PARAZINHO,Granja,LITORAL NORTE,1031.5,1605.1,55.6
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1603.2,8.9
PESSOA ANTA,Granja,LITORAL NORTE,1082,1598,47.7
LAGOA DO CARNEIRO,Acaraú,LITORAL NORTE,849.5,1596.1,87.9
JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,631.3,1565.4,148
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,1564,68.7
PARIPUEIRA,Beberibe,LITORAL DE FORTALEZA,674.8,1563.8,131.7
LAMEIRO,Crato,CARIRI,1132.4,1559,37.7
UBAJARA,Ubajara,IBIAPABA,1462.6,1553.1,6.2
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1536.6,16.2
AMERICA,Ipueiras,IBIAPABA,877.9,1495.2,70.3
CHAVAL,Chaval,LITORAL NORTE,876.8,1493.6,70.3
SITIOS NOVOS,Caucaia,LITORAL DE FORTALEZA,551.4,1489.2,170.1
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1481,53.8
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1476.9,44.5
NOVA BETANIA,Nova Russas,IBIAPABA,760.2,1466.8,92.9
CRUZ,Cruz,LITORAL NORTE,869.7,1464.5,68.4
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1460.8,0
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,1460.1,2
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1451.8,28.9
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1434,0
CONCEICAO,Hidrolândia,IBIAPABA,803.7,1429,77.8
URUAU CARRAPICHO,Beberibe,LITORAL DE FORTALEZA,0,1422,0
SAMBAIBA,Granja,LITORAL NORTE,1032.1,1420.3,37.6
FORTIM,Fortim,JAGUARIBANA,887.8,1416,59.5
TIAIA DE BAIXO,Granja,LITORAL NORTE,879.2,1416,61.1
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,1403,12.5
TUCUNDUBA,Caucaia,LITORAL DE FORTALEZA,1061.4,1391.5,31.1
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1387.3,20.6
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,1378.2,42.1
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,1367,23.6
BELA CRUZ,Bela Cruz,LITORAL NORTE,841.9,1363,61.9
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,1357.4,12.6
CARACARA,Sobral,LITORAL NORTE,459.7,1345,192.6
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1344.5,34
COREAU,Coreaú,IBIAPABA,1053.3,1341.7,27.4
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,1337.8,27.2
IPAPORANGA,Ipaporanga,IBIAPABA,678.9,1327,95.5
PACAJUS,Pacajus,LITORAL DE FORTALEZA,918.4,1325.2,44.3
MATRIZ,Ipueiras,IBIAPABA,1034.4,1317.6,27.4
FRECHEIRINHA,Frecheirinha,IBIAPABA,871.3,1315.5,51
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1310.1,-19.5
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1308,11.9
SANTA FE,Crato,CARIRI,238.3,1305,447.6
CAMPANARIO,Uruoca,LITORAL NORTE,1000,1270.4,27
PARACUA,Uruoca,LITORAL NORTE,961.8,1259.4,30.9
ARACATIARA,Amontada,LITORAL NORTE,621.6,1259,102.5
BOQUEIRAO,Sobral,LITORAL NORTE,798.9,1245.4,55.9
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,1242.9,10.6
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1241.1,0
FLORES,Ipu,IBIAPABA,690.5,1222,77
URUOCA,Uruoca,LITORAL NORTE,885.8,1214,37.1
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,1208.5,15.2
ARACATI,Aracati,JAGUARIBANA,904.5,1200.2,32.7
PIRES FERREIRA,Pires Ferreira,IBIAPABA,814.6,1189.6,46
SITIO PILOES,Pacoti,MACICO DE BATURITE,0,1189.5,0
SANTANA DO ACARAU,Santana do Acaraú,LITORAL NORTE,831.1,1189,43.1
SERROTA,Senador Sá,LITORAL NORTE,676.9,1185,75.1
IPU,Ipu,IBIAPABA,1002,1183.9,18.2
CARVOEIRO,Itarema,LITORAL NORTE,748.5,1183,58.1
ABAIARA,Abaiara,CARIRI,925.9,1178,27.2
ACUDE MUNDAU,Uruburetama,LITORAL DE PECEM,0,1177.6,0
CARRAPATEIRA,Guaiúba,MACICO DE BATURITE,770.5,1177,52.8
SAO JOSE,Barreira,MACICO DE BATURITE,923.2,1173,27.1
