Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
AÇUDE MARTINÓPOLE,Martinópole,LITORAL NORTE,0,1338.4,0
TRAPIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,686.4,1335.6,94.6
TIMONHA,Granja,LITORAL NORTE,1303.7,1335,2.4
FAZENDA COLUMINJUBA,Maranguape,LITORAL DE FORTALEZA,331.4,1326,300.1
JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,631.3,1325,109.9
MISSAO VELHA,Missão Velha,CARIRI,995.7,1321.2,32.7
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,1318,17.3
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,1313.1,93
CARIRIACU,Caririaçu,CARIRI,1048.9,1312,25.1
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1304.2,35.7
BASTIOES,Iracema,JAGUARIBANA,1025.6,1301.8,26.9
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,1289.7,50.5
COMUNIDADE TERRA VERMELHA,Aurora,CARIRI,0,1289.2,0
TIAIA DE BAIXO,Granja,LITORAL NORTE,879.2,1289,46.6
BATURITE,Baturité,MACICO DE BATURITE,1053.4,1285.5,22
ACARAPE,Acarape,MACICO DE BATURITE,999.5,1284,28.5
IBARETAMA,Ibaretama,SERTAO CENTRAL E INHAMUNS,728.4,1277,75.3
MARCO,Marco,LITORAL NORTE,863.1,1275.6,47.8
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,1272,25.9
FORTIM,Fortim,JAGUARIBANA,887.8,1270.5,43.1
MIRAIMA,Miraíma,LITORAL NORTE,678.3,1269.9,87.2
CHAVAL,Chaval,LITORAL NORTE,876.8,1269.8,44.8
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1261.8,10.7
PARAZINHO,Granja,LITORAL NORTE,1031.5,1251.8,21.4
AÇUDE VÁRZEA DA VOLTA,Moraújo,LITORAL NORTE,0,1247.9,0
URUOCA,Uruoca,LITORAL NORTE,885.8,1238.5,39.8
SERRA BRAVA,Milagres,CARIRI,0,1230.7,0
PACAJUS,Pacajus,LITORAL DE FORTALEZA,918.4,1229.8,33.9
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1229,27.6
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,1228.2,11.1
MASSAPE,Massapê,LITORAL NORTE,949.7,1227.4,29.2
COREAU,Coreaú,IBIAPABA,1053.3,1216.2,15.5
AMERICA,Ipueiras,IBIAPABA,877.9,1216.1,38.5
AÇUDE ARREBITA,Forquilha,IBIAPABA,0,1207,0
VILA FEITOSA,Caririaçu,CARIRI,817.7,1198.5,46.6
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,1197,-16.4
SAO JOSE DO FAMA,Iracema,JAGUARIBANA,647.7,1195,84.5
SOLEDADE,Aurora,CARIRI,0,1193,0
MAURITI,Mauriti,CARIRI,755.7,1185.6,56.9
SAO LUIS DO CURU,São Luís do Curu,LITORAL DE PECEM,812.5,1184,45.7
AÇUDE DIAMANTE,Coreaú,IBIAPABA,0,1180.4,0
QUIXOA,Iguatu,SERTAO CENTRAL E INHAMUNS,782.3,1178.6,50.7
GAMELEIRO DE S. SEBASTIAO,Missão Velha,CARIRI,880,1171.4,33.1
CAMARAO,Aratuba,MACICO DE BATURITE,0,1157.8,0
IPAUMIRIM,Ipaumirim,CARIRI,908.4,1153.8,27
BARRO ALTO,Iguatu,SERTAO CENTRAL E INHAMUNS,586.6,1152.7,96.5
IRACEMA,Iracema,JAGUARIBANA,809.5,1152,42.3
VARZEA DA CONCEICAO,Cedro,CARIRI,833,1147,37.7
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,1146.4,0
LAGOA DO CARNEIRO,Acaraú,LITORAL NORTE,849.5,1143,34.6
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,1142,0
VILA SAO GONCALO-MARROCOS,Juazeiro do Norte,CARIRI,657.7,1139.1,73.2
BARREIRA,Barreira,MACICO DE BATURITE,832,1138.4,36.8
COMUNIDADE VALDIVINO,Milagres,CARIRI,0,1132,0
BELA CRUZ,Bela Cruz,LITORAL NORTE,841.9,1131,34.4
AÇUDE FIGUEIREDO,Iracema,JAGUARIBANA,0,1130.8,0
CARVOEIRO,Itarema,LITORAL NORTE,748.5,1130,51
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1128.7,12.5
TAPERUABA,Sobral,LITORAL NORTE,463.1,1127,143.4
CHOROZINHO,Chorozinho,LITORAL DE FORTALEZA,833.7,1126.3,35.1
POTIRETAMA,Potiretama,JAGUARIBANA,651.5,1125.5,72.7
VICOSA 02,Maranguape,LITORAL DE FORTALEZA,0,1124.8,0
ACUDE CIPOADA,Morada Nova,JAGUARIBANA,0,1124.6,0
PARACUA,Uruoca,LITORAL NORTE,961.8,1123.6,16.8
BARRA DE SITIA,Banabuiú,JAGUARIBANA,633.6,1122.9,77.2
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,1121,-10.1
JARDIM MIRIM,Jardim,CARIRI,647,1118,72.8
RIACHO VERDE,Várzea Alegre,CARIRI,856.2,1114.3,30.1
ITAIPABA,Pacajus,LITORAL DE FORTALEZA,872.2,1113.2,27.6
IPU,Ipu,IBIAPABA,1002,1110.4,10.8
CANINDEZINHO,Várzea Alegre,CARIRI,0,1110.2,0
HIDROLANDIA,Hidrolândia,IBIAPABA,815.8,1109,36
COMUNIDADE GROSSAS,Pereiro,JAGUARIBANA,896.6,1106.5,23.4
TEJUCUOCA,Tejuçuoca,LITORAL DE PECEM,587.3,1106.5,88.4
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,1106,26
ARROJADO,Lavras da Mangabeira,CARIRI,336.5,1105,228.4
ARACATI,Aracati,JAGUARIBANA,904.5,1104.6,22.1
UMIRIM,Umirim,LITORAL DE PECEM,830.9,1104.3,32.9
INGAZEIRA,Aurora,CARIRI,821.6,1103.4,34.3
ALCANTARAS,Alcântaras,LITORAL NORTE,623.5,1099.4,76.3
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,1099.2,4.5
CARIUS,Cariús,CARIRI,805.4,1096,36.1
SITIO SAO JOAO,Ipu,IBIAPABA,0,1094.7,0
JAGUARIBARA,Jaguaribara,JAGUARIBANA,723.8,1094.6,51.2
EMATERCE,Cedro,CARIRI,0,1094.4,0
SITIO SACO,Porteiras,CARIRI,0,1094,0
JUAZEIRO DO NORTE,Juazeiro do Norte,CARIRI,971.6,1091.6,12.4
BATATAS,Tururu,LITORAL DE PECEM,0,1089.5,0
CATUNDA,Catunda,SERTAO CENTRAL E INHAMUNS,682.7,1087,59.2
SITIO TIMBAUBA MACORE,Russas,JAGUARIBANA,716.3,1076.5,50.3
FAZENDA LACRAIA,Morada Nova,JAGUARIBANA,706.7,1074.9,52.1
SALAO,Senador Sá,LITORAL NORTE,881.6,1069.5,21.3
SANTO ANTONIO,Ipaumirim,CARIRI,0,1069,0
CASA DE PEDRA,Pentecoste,LITORAL DE PECEM,760.7,1068,40.4
MISSI,Irauçuba,LITORAL DE PECEM,582.4,1067,83.2
MATRIZ,Ipueiras,IBIAPABA,1034.4,1061,2.6
ITAPAJE,Itapajé,LITORAL DE PECEM,856.4,1057.8,23.5
MORRINHOS,Morrinhos,LITORAL NORTE,842.2,1052,24.9
SANTA FE,Crato,CARIRI,238.3,1051,341
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,1048.3,5.7
LOGRADOURO,Alto Santo,JAGUARIBANA,595.6,1046,75.6
ACUDE RIACHO DA SERRA,Alto Santo,JAGUARIBANA,0,1044,0
GROAIRAS,Groaíras,IBIAPABA,777.6,1042.4,34.1
DOM LEME,Santana do Cariri,CARIRI,0,1042.2,0
SANTANA DO ACARAU,Santana do Acaraú,LITORAL NORTE,831.1,1038.8,25
ARACOIABA,Aracoiaba,MACICO DE BATURITE,924.3,1037.8,12.3
CAMILOS,Meruoca,LITORAL NORTE,970.8,1035.2,6.6
TARRAFAS,Tarrafas,SERTAO CENTRAL E INHAMUNS,673.1,1034.3,53.7
SITIO URUBU,Coreaú,IBIAPABA,839,1033,23.1
SITIO TIPI,Aurora,CARIRI,676.2,1025.3,51.6
JUREMA,General Sampaio,LITORAL DE PECEM,356,1025,188
QUIXELO,Quixelô,SERTAO CENTRAL E INHAMUNS,755.7,1024.2,35.5
NOVO GRANGEIRO,Granjeiro,CARIRI,0,1023.5,0
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,1020.1,28.9
BARRO,Barro,CARIRI,823.1,1020,23.9
AC. SOBRAL,Sobral,LITORAL NORTE,11.7,1018.7,8631.7
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,1013.6,32.1
ITAPEBUSSU,Maranguape,LITORAL DE FORTALEZA,666,1010.7,51.8
ACUDE JATOBA II,Ipueiras,IBIAPABA,0,1010.2,0
PANACUI,Marco,LITORAL NORTE,742.2,1010.2,36.1
SITIO SACO,Milagres,CARIRI,0,1010,0
CANINDEZINHO,Potiretama,JAGUARIBANA,679.3,1005,48
FAZENDA MALAQUIAS,Tejuçuoca,LITORAL DE PECEM,517.6,1001.9,93.6
JUCA,Cariré,IBIAPABA,0,997.9,0
NOVA RUSSAS,Nova Russas,IBIAPABA,779.7,997.1,27.9
AURORA,Aurora,CARIRI,933.2,997,6.8
CRISTAIS,Cascavel,LITORAL DE FORTALEZA,721.8,996.9,38.1
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,994,2.8
SITIO MALHADA,Limoeiro do Norte,JAGUARIBANA,751.3,993.9,32.3
AEROPORTO DE ARACATI,Aracati,JAGUARIBANA,863.7,992.5,14.9
LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CARIRI,896.2,992,10.7
CAPISTRANO,Capistrano,MACICO DE BATURITE,835.5,992,18.7
GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,815.9,990.8,21.4
ITAICABA,Itaiçaba,JAGUARIBANA,661.5,990.7,49.8
RERIUTABA,Reriutaba,IBIAPABA,884.8,989,11.8
PEREIRO,Pereiro,JAGUARIBANA,979.8,986.9,0.7
ESPERANCA,Canindé,SERTAO CENTRAL E INHAMUNS,628.8,985.4,56.7
LAGOA DE SANTO ANTONIO,Ararendá,IBIAPABA,0,985.3,0
SERRA BREJINHO,Jardim,CARIRI,0,985,0
PENTECOSTE,Pentecoste,LITORAL DE PECEM,746.2,984.4,31.9
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,981.2,4.2
CANAFISTULA,Iracema,JAGUARIBANA,0,981.1,0
AC. PEREIRA DE MIRANDA,Pentecoste,LITORAL DE PECEM,232,980.1,322.4
TANQUES,Maranguape,LITORAL DE FORTALEZA,896.7,979,9.2
SITIO MACAPA,Jati,CARIRI,0,978.4,0
JUREMA,Paramoti,LITORAL DE PECEM,0,978.4,0
BOQUEIRAO,Sobral,LITORAL NORTE,798.9,977.1,22.3
FURNAS,Aracoiaba,MACICO DE BATURITE,978.7,977,-0.2
FORQUILHA,Forquilha,IBIAPABA,725.6,976,34.5
SERRA DA GUIA,Boa Viagem,SERTAO CENTRAL E INHAMUNS,520.3,974.8,87.3
QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,706.4,974.2,37.9
BARRINHA,Icapuí,JAGUARIBANA,387.3,973.4,151.4
CURUPIRA,Ocara,MACICO DE BATURITE,689.5,973,41.1
TURURU,Tururu,LITORAL DE PECEM,866.8,972.1,12.2
RADAR QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,971,0
SANTA VITORIA - LAGES,Aurora,CARIRI,0,966.5,0
SAO SEBASTIAO,Cariús,CARIRI,516.3,966,87.1
TUCUNS,Crateús,SERTAO CENTRAL E INHAMUNS,644.5,965,49.7
SITIO VAMBIRA,Viçosa do Ceará,IBIAPABA,834.7,964.7,15.6
SINHA SABOIA,Sobral,LITORAL NORTE,758.2,960.3,26.7
JACUIPE NASCENTE,Amontada,LITORAL NORTE,0,958.5,0
FARIAS BRITO,Farias Brito,CARIRI,996.4,958.4,-3.8
SITIO BONSUCESSO,Jardim,CARIRI,0,957.1,0
BAU,Iguatu,SERTAO CENTRAL E INHAMUNS,825,956,15.9
DOM QUINTINO,Crato,CARIRI,734.5,954.3,29.9
CAIOCA,Sobral,LITORAL NORTE,651.8,953,46.2
SANTO ANTONIO,Ararendá,IBIAPABA,318.4,952.4,199.1
SERRAGEM,Ocara,MACICO DE BATURITE,639.9,951.5,48.7
AMANIUTUBA,Lavras da Mangabeira,CARIRI,639.6,950.4,48.6
TIANGUA,Tianguá,IBIAPABA,1253.5,949.9,-24.2
FAZENDA LOGRADOURO,São João do Jaguaribe,JAGUARIBANA,587.6,948.3,61.4
SITIO TAUÃ DE BAIXO,Ibiapina,IBIAPABA,0,944.8,0
MATA FRESCA,Aracati,JAGUARIBANA,579.8,943.8,62.8
GIQUI,Jaguaruana,JAGUARIBANA,564.3,942,66.9
AEROPORTO(IGUATU),Iguatu,SERTAO CENTRAL E INHAMUNS,260.4,941.3,261.5
IBOREPI,Lavras da Mangabeira,CARIRI,1026,940,-8.4
BREJINHO,Barro,CARIRI,839.1,939.3,11.9
BOA VISTA,Várzea Alegre,CARIRI,713.7,939,31.6
LAGOA DO MATO,Itatira,SERTAO CENTRAL E INHAMUNS,546.5,938.9,71.8
ABAIARA,Abaiara,CARIRI,925.9,937.4,1.3
ROLDAO,Morada Nova,JAGUARIBANA,652,936,43.6
DIPAN-ESCRITORIO DO DNOCS,Varjota,IBIAPABA,0,934.8,0
ELEVATORIO - COGERH,Itaiçaba,JAGUARIBANA,778.7,934.3,20
EMA,Iracema,JAGUARIBANA,646.5,926.5,43.3
FAZENDA NORMAL,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,925.8,0
CAPIM GROSSO,Russas,JAGUARIBANA,692.6,925.1,33.6
SEBASTIAO DE ABREU,Pentecoste,LITORAL DE PECEM,626.1,923.6,47.5
AC. ARARAS,Varjota,IBIAPABA,376.2,923.2,145.4
PIRES FERREIRA,Pires Ferreira,IBIAPABA,814.6,922.3,13.2
CAPIM 1,Groaíras,IBIAPABA,0,921.3,0
QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,706.2,918.7,30.1
CARIRE,Cariré,IBIAPABA,868.1,917,5.6
NOVA CONQUISTA,Amontada,LITORAL NORTE,0,909.3,0
BETANIA,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,581.2,909,56.4
AC. PEDRAS BRANCAS,Quixadá,SERTAO CENTRAL E INHAMUNS,274.5,908.5,231
FRECHEIRINHA,Frecheirinha,IBIAPABA,871.3,908,4.2
ACUDE ANGICOS,Frecheirinha,IBIAPABA,0,908,0
EMAUS,Novo Oriente,SERTAO CENTRAL E INHAMUNS,450.4,905.5,101.1
ACUDE SANTA MARIA,Ererê,JAGUARIBANA,0,903.1,0
AGUA VERMELHA,Milagres,CARIRI,0,902.4,0
SERRA BOCA DA MATA L,Jardim,CARIRI,0,901.5,0
LAGOA DA SERRA,Morada Nova,JAGUARIBANA,764.8,900.8,17.8
AC. AMANARY,Maranguape,LITORAL DE FORTALEZA,48.7,900,1748.1
PARAMOTI,Paramoti,LITORAL DE PECEM,688.6,899.3,30.6
CARIUTABA,Farias Brito,CARIRI,774.9,896,15.6
STA. RITA DOS GALDINOS,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,508.1,895.2,76.2
NOVO ORIENTE,Novo Oriente,SERTAO CENTRAL E INHAMUNS,718.5,895,24.6
NOVA FLORESTA,Jaguaribe,JAGUARIBANA,597.1,893.6,49.7
GAMELEIRA,Massapê,LITORAL NORTE,0,892.9,0
CONCEICAO,Hidrolândia,IBIAPABA,803.7,890.6,10.8
CANAUNA,Ipaumirim,CARIRI,847.9,887,4.6
BOA AGUA,Morada Nova,JAGUARIBANA,754.8,886,17.4
TABULEIRO DO NORTE,Tabuleiro do Norte,JAGUARIBANA,713.6,885.3,24.1
LAGOA GRANDE,Russas,JAGUARIBANA,449.3,883,96.5
URUQUE,Quixeramobim,SERTAO CENTRAL E INHAMUNS,895.1,882,-1.5
SANTA CRUZ,Amontada,LITORAL NORTE,0,881.2,0
COMUNIDADE BAIXA UMBURANA,Alto Santo,JAGUARIBANA,619.3,881,42.3
CAICARINHA,Choró,SERTAO CENTRAL E INHAMUNS,482.2,880.9,82.7
MORADA NOVA,Morada Nova,JAGUARIBANA,704.4,880.8,25
JUCAS,Jucás,CARIRI,911.5,880,-3.5
AGROVILA,Aurora,CARIRI,0,877.9,0
ITATIRA,Itatira,SERTAO CENTRAL E INHAMUNS,635.7,875.3,37.7
ALTO SANTO,Alto Santo,JAGUARIBANA,733.3,875.2,19.4
OCARA,Ocara,MACICO DE BATURITE,656.7,874.5,33.2
MONSENHOR TABOSA,Monsenhor Tabosa,SERTAO CENTRAL E INHAMUNS,669.6,874.4,30.6
AC. CEDRO,Quixadá,SERTAO CENTRAL E INHAMUNS,282.8,873.4,208.9
RETIRO GRANDE,Icapuí,JAGUARIBANA,829.4,872.6,5.2
ARARENDA,Ararendá,IBIAPABA,637.5,871,36.6
LIMOEIRO DO NORTE,Limoeiro do Norte,JAGUARIBANA,741,869.3,17.3
CANINDEZINHO,Nova Russas,IBIAPABA,448.4,866.2,93.2
ACUDE DO GOVERNO,Iguatu,SERTAO CENTRAL E INHAMUNS,526.3,865,64.4
APUIARES,Apuiarés,LITORAL DE PECEM,794,860.6,8.4
FLAMENGO,Saboeiro,SERTAO CENTRAL E INHAMUNS,741.9,860,15.9
AC. QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,88.2,858.8,873.7
BREJO SANTO,Brejo Santo,CARIRI,920.7,857.5,-6.9
BOQUEIRAO DO CESARIO,Beberibe,LITORAL DE FORTALEZA,518.4,857,65.3
SOLONOPOLE,Solonópole,SERTAO CENTRAL E INHAMUNS,753.1,856.1,13.7
AMANAIARA,Reriutaba,IBIAPABA,778.2,856,10
RAIMUNDO MARTINS,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,519.9,851.2,63.7
MONTE NEBO,Crateús,SERTAO CENTRAL E INHAMUNS,768.8,848.4,10.4
PEIXE,Russas,JAGUARIBANA,631.6,847.3,34.1
PALMATORIA,Itapiúna,MACICO DE BATURITE,728,846.6,16.3
FLORES,Ipu,IBIAPABA,690.5,846,22.5
ACUDE FARIAS DE SOUSA,Nova Russas,IBIAPABA,0,842,0
IBUACU,Boa Viagem,SERTAO CENTRAL E INHAMUNS,516.2,842,63.1
POCO DO PAU,Brejo Santo,CARIRI,667.9,838.2,25.5
RIACHO VERMELHO,Iguatu,SERTAO CENTRAL E INHAMUNS,749.4,838,11.8
TANGENTE,Massapê,LITORAL NORTE,750.8,837.4,11.5
GRACA,Graça,IBIAPABA,1033.3,837,-19
CHORO,Choró,SERTAO CENTRAL E INHAMUNS,730.5,837,14.6
ARNEIROZ,Arneiroz,SERTAO CENTRAL E INHAMUNS,631.7,836.2,32.4
PADRE VIEIRA,Viçosa do Ceará,IBIAPABA,531.9,836,57.2
SALITRE,Salitre,SERTAO CENTRAL E INHAMUNS,509.4,835.8,64.1
JUA,Irauçuba,LITORAL DE PECEM,463.7,835.4,80.2
BAIXIO,Baixio,CARIRI,851,832.8,-2.1
VERA CRUZ,Tauá,SERTAO CENTRAL E INHAMUNS,508.8,828.4,62.8
CUNCAS,Barro,CARIRI,439.4,821,86.9
JATI,Jati,CARIRI,722.3,821,13.7
IFCE QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,0,819.1,0
MONTE ALEGRE,Barro,CARIRI,782.3,818.4,4.6
LAGOINHA,Quixeré,JAGUARIBANA,450.9,816.4,81.1
PACUJA,Pacujá,IBIAPABA,974.8,816.3,-16.3
BELEM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,613.6,816,33
PEDRA BRANCA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,813.7,813.6,0
CRATEUS,Crateús,SERTAO CENTRAL E INHAMUNS,704.1,811.4,15.2
PARAISO,Catunda,SERTAO CENTRAL E INHAMUNS,516.3,811,57.1
SITIO FORQUILHA - COGERH,Beberibe,LITORAL DE FORTALEZA,598.6,805.6,34.6
BONFIM,Senador Pompeu,SERTAO CENTRAL E INHAMUNS,623.8,803.5,28.8
ERERE,Ererê,JAGUARIBANA,808.8,803,-0.7
SITIO TRANQUEIRA,Lavras da Mangabeira,CARIRI,0,801.7,0
CANABRAVA-COCOCI,Parambu,SERTAO CENTRAL E INHAMUNS,575.4,800.9,39.2
ETA SAAE QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,800.3,0
BRUM,Jaguaribe,JAGUARIBANA,0,799.8,0
SERENO DE CIMA,Ocara,MACICO DE BATURITE,739.6,799,8
CACIMBAS,Cariré,IBIAPABA,0,798,0
BOA VIAGEM,Boa Viagem,SERTAO CENTRAL E INHAMUNS,661.4,797.8,20.6
SAO ROMAO,Altaneira,CARIRI,0,795.5,0
IPUEIRAS,Ipueiras,IBIAPABA,933.1,788.5,-15.5
ITAPIUNA,Itapiúna,MACICO DE BATURITE,747.3,785.7,5.2
SERROTE BRANCO,Jaguaretama,JAGUARIBANA,678.5,785.3,15.7
SAO JOSE,Carnaubal,IBIAPABA,622.3,783,25.8
INB ITATAIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,0,782.3,0
TAPUIARA,Quixadá,SERTAO CENTRAL E INHAMUNS,621.2,782,25.9
SAO VICENTE,Icó,JAGUARIBANA,577.4,779,34.9
ENGENHO VELHO,Barro,CARIRI,686.9,778.7,13.4
CARIDADE,Caridade,SERTAO CENTRAL E INHAMUNS,590.5,778.5,31.8
JARDIM,Jardim,CARIRI,726.5,777.6,7
BANABUIU,Banabuiú,JAGUARIBANA,673.8,777.4,15.4
