Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
BARROQUINHA,Barroquinha,LITORAL NORTE,940,2418.6,157.3
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,2196.6,60
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,2093.4,52.2
IBIAPINA,Ibiapina,IBIAPABA,1599.6,2084.6,30.3
CACA E PESCA,Fortaleza,LITORAL DE FORTALEZA,0,2039.5,0
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,2024.2,54.8
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1974.8,45
DEFESA CIVIL DE FORTALEZA,Fortaleza,LITORAL DE FORTALEZA,0,1969.9,0
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1944,38
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1902,406
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1885.2,0
ACARAU,Acaraú,LITORAL NORTE,1083.6,1828.6,68.8
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,1824,40.7
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1799.3,10.6
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1786,0
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1783.3,27.3
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1767.4,0
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1758.6,36.3
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1741.1,0
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1739,49.6
HOTEL VALE DAS NUVENS,Baturité,MACICO DE BATURITE,0,1720.1,0
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1716.5,0
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1702,52.7
POCO DOCE,Paracuru,LITORAL DE PECEM,0,1691.4,0
LAMEIRO,Crato,CARIRI,1132.4,1682,48.5
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1622.7,34.9
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1612,45.8
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1610.9,43.1
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1605.8,37.1
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,1604,33.1
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1592.2,18
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1581.4,0
SITIO PITOMBEIRAS DE CRUZ,Cruz,LITORAL NORTE,0,1566.7,0
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1539.8,0
CRUZ,Cruz,LITORAL NORTE,869.7,1536,76.6
ACUDE MUNDAU,Uruburetama,LITORAL DE PECEM,0,1530.8,0
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1529.4,3.8
VICOSA 01,Maranguape,LITORAL DE FORTALEZA,0,1506.7,0
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1505.3,3.6
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1505,32.1
UBAJARA,Ubajara,IBIAPABA,1462.6,1497.9,2.4
AÇUDE GANGORRA,Granja,LITORAL NORTE,0,1493,0
GRANJA,Granja,LITORAL NORTE,1099.4,1491.4,35.7
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,1485,30.1
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1484,43.6
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1477,-3.1
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,1474,59
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,1473.1,40.4
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1455.6,24.6
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,1455,0
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1454.3,26.4
SITIO PITUBA,Ibiapina,IBIAPABA,0,1438,0
JAMACARU,Missão Velha,CARIRI,1037.5,1435.5,38.4
SITIO PILOES,Pacoti,MACICO DE BATURITE,0,1435.4,0
SÍTIO SANTA ISABEL,Baturité,MACICO DE BATURITE,0,1433,0
ARANAU,Acaraú,LITORAL NORTE,906.8,1425.4,57.2
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1418.4,38.8
MILAGRES,Milagres,CARIRI,906.3,1417.6,56.4
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,1413.2,86.9
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,1395,0
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1391.7,5.2
ITAREMA,Itarema,LITORAL NORTE,1137.6,1380,21.3
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,1371.1,21.6
PESSOA ANTA,Granja,LITORAL NORTE,1082,1368,26.4
SANTA QUITERIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,754.7,1367.5,81.2
SAMBAIBA,Granja,LITORAL NORTE,1032.1,1365.5,32.3
BARBALHA,Barbalha,CARIRI,1055,1360.8,29
PRATA,Bela Cruz,LITORAL NORTE,944.4,1360.8,44.1
CRATO,Crato,CARIRI,1121.6,1355,20.8
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,1348.5,39
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1346,0
ACUDE SAO VICENTE,Santana do Acaraú,LITORAL NORTE,0,1344,0
JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,507,1344,165.1
