Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
TUCUNDUBA,Caucaia,LITORAL DE FORTALEZA,1061.4,1642.2,54.7
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1610.5,0.7
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,1577.8,14.9
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1544.5,32.2
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1480.4,0
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1470.4,6.9
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1427,22.7
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1403,35.8
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1379.7,-15.2
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1378.5,-5.1
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1357,-3.6
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1324.5,0
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1313,15.2
CHACARA PEDRO HENRIQUE,Palmácia,MACICO DE BATURITE,0,1310.6,0
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1284.4,14.1
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1284.1,9.7
ICARAI DE AMONTADA,Amontada,LITORAL NORTE,944.2,1278,35.4
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1274.1,0
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1271.9,-6.6
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1265.8,-3.2
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1252,30
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1209,-13.7
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1201,7.7
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1193.3,0
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,1186.6,4429
PRATA,Bela Cruz,LITORAL NORTE,944.4,1158.7,22.7
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1143.7,-13.5
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1123.4,-23.7
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1123.3,16.8
PARIPUEIRA,Beberibe,LITORAL DE FORTALEZA,674.8,1123.2,66.4
ARANAU,Acaraú,LITORAL NORTE,906.8,1122.2,23.8
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1121.5,0
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1110,-27.1
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1105.8,-18.1
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1089,0
CRUZ,Cruz,LITORAL NORTE,869.7,1074.6,23.6
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1073.9,-10.5
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1072,-10.9
LAMEIRO,Crato,CARIRI,1132.4,1069,-5.6
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1063.7,13.2
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1059.2,-7.1
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1054.2,0
UBAJARA,Ubajara,IBIAPABA,1462.6,1047.5,-28.4
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1044.5,4.1
BARBALHA,Barbalha,CARIRI,1055,1043.7,-1.1
PESSOA ANTA,Granja,LITORAL NORTE,1082,1035,-4.3
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1027.4,-20.4
MARCO,Marco,LITORAL NORTE,863.1,1025.6,18.8
ITAREMA,Itarema,LITORAL NORTE,1137.6,1021,-10.3
ACARAU,Acaraú,LITORAL NORTE,1083.6,1017.2,-6.1
