Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
MORAUJO,Moraújo,LITORAL NORTE,1041.2,2967.5,185
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,2067.4,50.3
TIMONHA,Granja,LITORAL NORTE,1303.7,2051.1,57.3
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,2011.3,46.5
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1986,0
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1974.4,45
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1973.1,23.4
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1960.2,51.9
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1959,75.7
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1949,38.4
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,1898,71.7
PESSOA ANTA,Granja,LITORAL NORTE,1082,1893,75
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1877,23.2
LAMEIRO,Crato,CARIRI,1132.4,1833,61.9
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1824.6,39.6
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1798.1,0
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1790.4,0
GRANJA,Granja,LITORAL NORTE,1099.4,1738.4,58.1
BERRA BODE-ETS,Aquiraz,LITORAL DE FORTALEZA,1166.9,1704.7,46.1
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1697.1,41.4
ACARAU,Acaraú,LITORAL NORTE,1083.6,1687.6,55.7
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1644.2,0
SITIO URUBU,Coreaú,IBIAPABA,839,1629,94.2
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1625.6,20.5
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1625.3,0
IBOREPI,Lavras da Mangabeira,CARIRI,1026,1625,58.4
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1623.2,10.2
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1612.8,38.7
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1591,0
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1580.8,31.4
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1557.2,0
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1555.9,7.1
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,1554.4,60.3
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1543.6,0
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1541.5,64
JAMACARU,Missão Velha,CARIRI,1037.5,1538.8,48.3
URUAU CARRAPICHO,Beberibe,LITORAL DE FORTALEZA,0,1530,0
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1518.6,34.9
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,1514.6,5680.9
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1513,14.4
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,1507,25
SANTA FE,Crato,CARIRI,238.3,1492,526
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,1489.5,32.5
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1489.3,296.2
SEMAN,Itaitinga,LITORAL DE FORTALEZA,0,1488.9,0
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1485.1,45.3
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1477.6,26.5
IPAUMIRIM,Ipaumirim,CARIRI,908.4,1477.1,62.6
ICARAI DE AMONTADA,Amontada,LITORAL NORTE,944.2,1470,55.7
FORTIM,Fortim,JAGUARIBANA,887.8,1463,64.8
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1455,45
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,1451,50.1
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1450.7,23.9
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,1449.4,28.6
CRATO,Crato,CARIRI,1121.6,1444.5,28.8
ARANAU,Acaraú,LITORAL NORTE,906.8,1437.2,58.5
IBIAPABA,Crateús,SERTAO CENTRAL E INHAMUNS,639.9,1433.5,124
INGAZEIRA,Aurora,CARIRI,821.6,1432.4,74.3
ITAREMA,Itarema,LITORAL NORTE,1137.6,1429,25.6
AMERICA,Ipueiras,IBIAPABA,877.9,1423.2,62.1
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1400.1,22.8
PARACUA,Uruoca,LITORAL NORTE,961.8,1391.2,44.6
MATRIZ,Ipueiras,IBIAPABA,1034.4,1381.6,33.6
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,1370.4,0
BIXOPA,Limoeiro do Norte,JAGUARIBANA,621.9,1369,120.1
PRATA,Bela Cruz,LITORAL NORTE,944.4,1358.4,43.8
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,1356,0
CHAVAL,Chaval,LITORAL NORTE,876.8,1354.1,54.4
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,1351,45.7
FAZENDA TAPUIO,Crateús,SERTAO CENTRAL E INHAMUNS,0,1337,0
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,1336.8,96.5
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1336.5,29.3
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1336.4,20.9
BOA VISTA,Várzea Alegre,CARIRI,713.7,1336,87.2
MACARAU,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,0,1334.6,0
TIAIA DE BAIXO,Granja,LITORAL NORTE,879.2,1333,51.6
DOM LEME,Santana do Cariri,CARIRI,0,1332.1,0
CARIUS,Cariús,CARIRI,805.4,1330,65.1
JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,631.3,1326.3,110.1
SERROTA,Senador Sá,LITORAL NORTE,676.9,1325,95.8
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,1324.4,0
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,1323.5,54.5
