Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
MORAUJO,Moraújo,LITORAL NORTE,1041.2,1770,70
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,1731,79
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1709.7,29.3
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1684.1,3.5
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1656,22.7
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1648.7,3.1
LAMEIRO,Crato,CARIRI,1132.4,1621,43.2
JAMACARU,Missão Velha,CARIRI,1037.5,1510.8,45.6
ABAIARA,Abaiara,CARIRI,925.9,1446,56.2
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1443,-5.3
CASCUDO,Icó,JAGUARIBANA,681.6,1401.5,105.6
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1393.5,-4.1
TIANGUA,Tianguá,IBIAPABA,1253.5,1356.4,8.2
EMATERCE,Cedro,CARIRI,0,1329.9,0
UBAJARA,Ubajara,IBIAPABA,1462.6,1329.2,-9.1
CARIUS,Cariús,CARIRI,805.4,1324.2,64.4
CRATO,Crato,CARIRI,1121.6,1310.8,16.9
GAMELEIRO DE S. SEBASTIAO,Missão Velha,CARIRI,880,1309.6,48.8
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1294.6,15
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1291.5,-1.2
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,1285.6,-6.4
MISSAO VELHA,Missão Velha,CARIRI,995.7,1276.2,28.2
SANTA FE,Crato,CARIRI,238.3,1255,426.6
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1254.4,22.8
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1251.8,-8.1
BAU,Iguatu,SERTAO CENTRAL E INHAMUNS,825,1251,51.6
TIMONHA,Granja,LITORAL NORTE,1303.7,1250,-4.1
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,1245,0
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1243.2,-9.6
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,1243,8.9
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1233.7,8.2
ANGICO,Cariús,CARIRI,767.3,1232,60.6
JUCAS,Jucás,CARIRI,911.5,1232,35.2
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1227.3,30.6
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1223.1,0
BASTIOES,Iracema,JAGUARIBANA,1025.6,1220,19
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,1197.7,6.6
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1188,6.6
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1185.1,0
SITIO PILOES,Pacoti,MACICO DE BATURITE,0,1183,0
PACUJA,Pacujá,IBIAPABA,974.8,1178.5,20.9
GRANJA,Granja,LITORAL NORTE,1099.4,1175.4,6.9
BARBALHA,Barbalha,CARIRI,1055,1165.9,10.5
PARIPUEIRA,Beberibe,LITORAL DE FORTALEZA,674.8,1162.4,72.3
VILA SAO GONCALO-MARROCOS,Juazeiro do Norte,CARIRI,657.7,1160.7,76.5
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1155.6,4.5
ITAITINGA,Itaitinga,LITORAL DE FORTALEZA,1033.3,1155,11.8
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1152.5,19.7
TIAIA DE BAIXO,Granja,LITORAL NORTE,879.2,1148,30.6
BREJINHO,Barro,CARIRI,839.1,1146.6,36.6
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1137.6,-2.2
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1135.2,0
BOA VISTA,Várzea Alegre,CARIRI,713.7,1135,59
QUIXELO,Quixelô,SERTAO CENTRAL E INHAMUNS,755.7,1134,50.1
