Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,1129.5,20
SITIO SACO,Porteiras,CARIRI,0,1120,0
SITIO MACAPA,Jati,CARIRI,0,1111.8,0
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1110.4,-3.5
BARRO ALTO,Iguatu,SERTAO CENTRAL E INHAMUNS,586.6,1106.1,88.6
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1103.7,-8.3
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,1103.7,43.8
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1097.2,-25.5
PESSOA ANTA,Granja,LITORAL NORTE,1082,1095,1.2
AMERICA,Ipueiras,IBIAPABA,877.9,1094.9,24.7
ACARAPE,Acarape,MACICO DE BATURITE,999.5,1088.3,8.9
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,1087.9,0
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1085.5,0
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1085,0
ARARENDA,Ararendá,IBIAPABA,637.5,1081.8,69.7
COMUNIDADE VALDIVINO,Milagres,CARIRI,0,1079,0
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1076.5,12
MILAGRES,Milagres,CARIRI,906.3,1069.1,18
PEREIRO,Pereiro,JAGUARIBANA,979.8,1061,8.3
CAMARAO,Aratuba,MACICO DE BATURITE,0,1059.9,0
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,1056,0.7
BATURITE,Baturité,MACICO DE BATURITE,1053.4,1055.5,0.2
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1053.1,0
QUIXOA,Iguatu,SERTAO CENTRAL E INHAMUNS,782.3,1052.7,34.6
VARZEA DA CONCEICAO,Cedro,CARIRI,833,1052,26.3
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1050.7,-12.5
JATI,Jati,CARIRI,722.3,1049,45.2
MUCAMBO,Mucambo,IBIAPABA,1005.9,1049,4.3
AMANIUTUBA,Lavras da Mangabeira,CARIRI,639.6,1041,62.8
ACUDE MUNDAU,Uruburetama,LITORAL DE PECEM,0,1041,0
SAO SEBASTIAO,Cariús,CARIRI,516.3,1038.5,101.1
BAIXIO,Baixio,CARIRI,851,1034.1,21.5
CEDRO,Cedro,CARIRI,920.6,1030.2,11.9
FRECHEIRINHA,Frecheirinha,IBIAPABA,871.3,1026.5,17.8
OCARA,Ocara,MACICO DE BATURITE,656.7,1023.9,55.9
JUAZEIRO DO NORTE,Juazeiro do Norte,CARIRI,971.6,1020,5
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1019.8,0
IPAUMIRIM,Ipaumirim,CARIRI,908.4,1013.4,11.6
TANGENTE,Massapê,LITORAL NORTE,750.8,1013.4,35
GUASSUSSE,Orós,JAGUARIBANA,0,1013,0
IBOREPI,Lavras da Mangabeira,CARIRI,1026,1008,-1.8
SITIO TIPI,Aurora,CARIRI,676.2,1007.2,48.9
FARIAS BRITO,Farias Brito,CARIRI,996.4,999.4,0.3
NOVO GRANGEIRO,Granjeiro,CARIRI,0,991.1,0
MUSEU RODOLFO TEOFILO,Maracanaú,LITORAL DE FORTALEZA,26.2,990.1,3679
COMUNIDADE GROSSAS,Pereiro,JAGUARIBANA,896.6,989.8,10.4
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,989.5,0
SITIO CANTO,Umari,CARIRI,739.4,988.6,33.7
INGAZEIRA,Aurora,CARIRI,821.6,985.2,19.9
ICO,Icó,JAGUARIBANA,767.7,984.5,28.3
PALESTINA,Orós,JAGUARIBANA,707.9,982.6,38.8
BETANIA,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,581.2,978,68.3
MONTE ALEGRE,Barro,CARIRI,782.3,974.7,24.6
SERRA BOCA DA MATA L,Jardim,CARIRI,0,973.2,0
NOVO MARACANAU,Maracanaú,LITORAL DE FORTALEZA,0,971.8,0
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,970,-12.3
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,969.4,-7.9
TANQUES,Maranguape,LITORAL DE FORTALEZA,896.7,969,8.1
AURORA,Aurora,CARIRI,933.2,968.4,3.8
RIACHO VERMELHO,Iguatu,SERTAO CENTRAL E INHAMUNS,749.4,967,29
RIACHO VERDE,Várzea Alegre,CARIRI,856.2,966,12.8
FAZENDA BOM PASTOR,Coreaú,IBIAPABA,0,964,0
PARAZINHO,Granja,LITORAL NORTE,1031.5,963.5,-6.6
ACARAU,Acaraú,LITORAL NORTE,1083.6,958,-11.6
PORTEIRAS,Porteiras,CARIRI,816.6,957.1,17.2
UMARI,Umari,CARIRI,777,957,23.2
VILA FEITOSA,Caririaçu,CARIRI,817.7,954.2,16.7
SITIO TAUÃ DE BAIXO,Ibiapina,IBIAPABA,0,949.1,0
BREJO SANTO,Brejo Santo,CARIRI,920.7,948.8,3.1
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,947.5,-24
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,944,1.8
BARREIRA,Barreira,MACICO DE BATURITE,832,943.5,13.4
PIRES FERREIRA,Pires Ferreira,IBIAPABA,814.6,939.8,15.4
SEMAN,Itaitinga,LITORAL DE FORTALEZA,0,927.4,0
CANAFISTULA,Iracema,JAGUARIBANA,0,921.3,0
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,918,-23.8
CARIRE,Cariré,IBIAPABA,868.1,914.2,5.3
SANTO ANTONIO,Ipaumirim,CARIRI,0,913.2,0
IRACEMA,Iracema,JAGUARIBANA,809.5,912,12.7
JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,507,911.5,79.8
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,906,-35.7
CACIMBAS,Cariré,IBIAPABA,0,905.8,0
CARIRIACU,Caririaçu,CARIRI,1048.9,905.3,-13.7
CAIXA,Acopiara,SERTAO CENTRAL E INHAMUNS,722.3,901.3,24.8
MONTE NEBO,Crateús,SERTAO CENTRAL E INHAMUNS,768.8,897,16.7
ARACOIABA,Aracoiaba,MACICO DE BATURITE,924.3,895.1,-3.2
IPUEIRAS,Ipueiras,IBIAPABA,933.1,892.8,-4.3
JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,631.3,892.6,41.4
POCO GRANDE,Jucás,CARIRI,565.1,892,57.8
IPU,Ipu,IBIAPABA,1002,890.2,-11.2
CAPISTRANO,Capistrano,MACICO DE BATURITE,835.5,889,6.4
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,888.2,-10.5
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,883.3,-31.6
PACAJUS,Pacajus,LITORAL DE FORTALEZA,918.4,882.8,-3.9
SANTANA DO ACARAU,Santana do Acaraú,LITORAL NORTE,831.1,882.6,6.2
SÃO JOÃO,Ererê,JAGUARIBANA,831.2,881,6
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,881,-22.7
BERRA BODE-ETS,Aquiraz,LITORAL DE FORTALEZA,1166.9,876.6,-24.9
BAIXIO DE DONANA,Jucás,CARIRI,708.8,875.2,23.5
POCO DO PAU,Brejo Santo,CARIRI,667.9,873.4,30.8
SERRA BREJINHO,Jardim,CARIRI,0,870.1,0
SITIO TRANQUEIRA,Lavras da Mangabeira,CARIRI,0,869.5,0
RERIUTABA,Reriutaba,IBIAPABA,884.8,868,-1.9
NOVA BETANIA,Nova Russas,IBIAPABA,760.2,864.5,13.7
SAMBAIBA,Granja,LITORAL NORTE,1032.1,862.1,-16.5
ITAPEBUSSU,Maranguape,LITORAL DE FORTALEZA,666,861.6,29.4
SITIO CHAPADINHA,São Benedito,IBIAPABA,0,859.8,0
PRATA,Bela Cruz,LITORAL NORTE,944.4,857.8,-9.2
SITIO SAO PEDRO,Ipaumirim,CARIRI,0,856.3,0
FAZENDA BOA VISTA,Itapiúna,MACICO DE BATURITE,0,856.1,0
ITAPIUNA,Itapiúna,MACICO DE BATURITE,747.3,855.4,14.5
PAUS BRANCOS,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,853,0
IBIAPABA,Crateús,SERTAO CENTRAL E INHAMUNS,639.9,851,33
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,850.8,0
URUAU CARRAPICHO,Beberibe,LITORAL DE FORTALEZA,0,850.5,0
AC. SOBRAL,Sobral,LITORAL NORTE,11.7,848.1,7169.4
CAJAZERINHA,Umari,CARIRI,0,847,0
GUARIBAS,Acopiara,SERTAO CENTRAL E INHAMUNS,565.7,845.5,49.5
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,845.4,-12.8
EBRON,Acopiara,SERTAO CENTRAL E INHAMUNS,534.2,843,57.8
LAGOA DO CARNEIRO,Acaraú,LITORAL NORTE,849.5,842.3,-0.9
AEROPORTO DE ARACATI,Aracati,JAGUARIBANA,863.7,841.4,-2.6
ICARAI DE AMONTADA,Amontada,LITORAL NORTE,944.2,841,-10.9
SITIO FERNANDES,Aratuba,MACICO DE BATURITE,0,840.5,0
DOM QUINTINO,Crato,CARIRI,734.5,832.6,13.4
SOLONOPOLE,Solonópole,SERTAO CENTRAL E INHAMUNS,753.1,832.3,10.5
ACUDE TIGRE,Solonópole,SERTAO CENTRAL E INHAMUNS,0,832,0
SANTA VITORIA - LAGES,Aurora,CARIRI,0,831.9,0
SAO JOSE DO FAMA,Iracema,JAGUARIBANA,647.7,825,27.4
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,824.6,-29.6
GRACA,Graça,IBIAPABA,1033.3,823,-20.4
CARNAUBINHA,Milhã,SERTAO CENTRAL E INHAMUNS,0,821,0
EMA,Iracema,JAGUARIBANA,646.5,820.8,27
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,818,-6.8
RIACHO VERDE,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,814.6,0
ARANAU,Acaraú,LITORAL NORTE,906.8,813.8,-10.3
LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CARIRI,896.2,810.1,-9.6
IPAPORANGA,Ipaporanga,IBIAPABA,678.9,810,19.3
SINHA SABOIA,Sobral,LITORAL NORTE,758.2,809.6,6.8
ENGENHO VELHO,Barro,CARIRI,686.9,808.4,17.7
ARATAMA,Assaré,SERTAO CENTRAL E INHAMUNS,658.1,808,22.8
ITAREMA,Itarema,LITORAL NORTE,1137.6,807.8,-29
CAIOCA,Sobral,LITORAL NORTE,651.8,807,23.8
MASSAPE,Massapê,LITORAL NORTE,949.7,806.5,-15.1
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,806,1.9
IBICUA,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,726.7,806,10.9
IBARETAMA,Ibaretama,SERTAO CENTRAL E INHAMUNS,728.4,804.7,10.5
CAMILOS,Meruoca,LITORAL NORTE,970.8,803.7,-17.2
BOQUEIRAO,Sobral,LITORAL NORTE,798.9,802.2,0.4
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,801.5,0
ARARIPE,Araripe,SERTAO CENTRAL E INHAMUNS,695.4,800.2,15.1
NOVA OLINDA,Nova Olinda,CARIRI,885.3,796,-10.1
TRAPIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,686.4,793.9,15.7
ACOPIARA,Acopiara,SERTAO CENTRAL E INHAMUNS,744,790,6.2
URUOCA,Uruoca,LITORAL NORTE,885.8,788,-11
ASSENTAMENTO NOVO CANAA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,787.7,0
ARACATI,Aracati,JAGUARIBANA,904.5,785.5,-13.2
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,785.3,108.9
CURUPIRA,Ocara,MACICO DE BATURITE,689.5,785,13.9
FORTIM,Fortim,JAGUARIBANA,887.8,784,-11.7
AMANAIARA,Reriutaba,IBIAPABA,778.2,780,0.2
DAMIAO,Ipu,IBIAPABA,0,778.3,0
ERERE,Ererê,JAGUARIBANA,808.8,777.5,-3.9
SITIO VAMBIRA,Viçosa do Ceará,IBIAPABA,834.7,776.2,-7
CUNCAS,Barro,CARIRI,439.4,774.8,76.3
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,773.3,-23
SITIO URUBU,Coreaú,IBIAPABA,839,772,-8
SERRA BRAVA,Milagres,CARIRI,0,771.5,0
TUCUNS,Crateús,SERTAO CENTRAL E INHAMUNS,644.5,771,19.6
ENCANTADO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,564.6,770.9,36.5
BARRO,Barro,CARIRI,823.1,769.5,-6.5
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,768,0
HIDROLANDIA,Hidrolândia,IBIAPABA,815.8,767,-6
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,765.9,-24.2
ARROJADO,Lavras da Mangabeira,CARIRI,336.5,765,127.4
VERA CRUZ,Tauá,SERTAO CENTRAL E INHAMUNS,508.8,764.5,50.3
GROAIRAS,Groaíras,IBIAPABA,777.6,761.4,-2.1
ALTANEIRA,Altaneira,CARIRI,821.3,759.2,-7.6
SAO JOSE,Barreira,MACICO DE BATURITE,923.2,759,-17.8
MORRINHOS,Morrinhos,LITORAL NORTE,842.2,758.8,-9.9
SITIO SACO,Milagres,CARIRI,0,758,0
RIACHO DO ALGODAO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,756.8,0
IBICUITINGA,Ibicuitinga,JAGUARIBANA,705.7,755.3,7
CARMELOPOLES,Campos Sales,SERTAO CENTRAL E INHAMUNS,662.1,755.2,14.1
ANTONINA DO NORTE,Antonina do Norte,SERTAO CENTRAL E INHAMUNS,633.2,755,19.2
SANTA TEREZINHA,Crateús,SERTAO CENTRAL E INHAMUNS,446.8,755,69
TARRAFAS,Tarrafas,SERTAO CENTRAL E INHAMUNS,673.1,755,12.2
SALAO,Senador Sá,LITORAL NORTE,881.6,753.4,-14.5
ACUDE DO GOVERNO,Iguatu,SERTAO CENTRAL E INHAMUNS,526.3,753,43.1
PARACUA,Uruoca,LITORAL NORTE,961.8,750,-22
JAGUARIBE,Jaguaribe,JAGUARIBANA,727.1,748.3,2.9
ICOZINHO,Icó,JAGUARIBANA,498.4,747.1,49.9
SITIO BAIXA GRANDE,Crateús,SERTAO CENTRAL E INHAMUNS,0,747,0
AC. AYRES DE SOUZA,Sobral,LITORAL NORTE,114.3,739.8,547.2
OROS,Orós,JAGUARIBANA,808.4,739.2,-8.6
PANACUI,Marco,LITORAL NORTE,742.2,739.1,-0.4
PADRE VIEIRA,Viçosa do Ceará,IBIAPABA,531.9,739,38.9
MARRUAS DOS PAIVA,Ipu,IBIAPABA,0,738.4,0
VILA ESCONDIDO,Potengi,SERTAO CENTRAL E INHAMUNS,0,737,0
SITIO CATOLÉ DA PISTA,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,0,733.2,0
UBAUNA,Coreaú,IBIAPABA,598.2,729.6,22
SAO MIGUEL,Quixeramobim,SERTAO CENTRAL E INHAMUNS,621.8,729,17.2
AC. OROS,Orós,JAGUARIBANA,359.8,727.7,102.3
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,726,-37.9
JARDIM MIRIM,Jardim,CARIRI,647,723.2,11.8
ACUDE SANTA MARIA,Ererê,JAGUARIBANA,0,722.2,0
SITIO PITOMBEIRAS DE CRUZ,Cruz,LITORAL NORTE,0,722.1,0
SERROTA,Senador Sá,LITORAL NORTE,676.9,720,6.4
BELEM,Crateús,SERTAO CENTRAL E INHAMUNS,0,719.5,0
BOA VISTA,Mombaça,SERTAO CENTRAL E INHAMUNS,523.6,719.4,37.4
IRAPUA,Crateús,SERTAO CENTRAL E INHAMUNS,446.3,718.8,61.1
MARRUAS,Tauá,SERTAO CENTRAL E INHAMUNS,252.2,717.9,184.7
LAGEDO,Cedro,CARIRI,618.6,717,15.9
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,716.6,5.3
FLAMENGO,Saboeiro,SERTAO CENTRAL E INHAMUNS,741.9,714.5,-3.7
LAGOA DE SANTO ANTONIO,Ararendá,IBIAPABA,0,713.2,0
LAGOA GRANDE,Russas,JAGUARIBANA,449.3,713,58.7
JUCA,Cariré,IBIAPABA,0,712.5,0
SERRA DA GUIA,Boa Viagem,SERTAO CENTRAL E INHAMUNS,520.3,712.5,36.9
POTIRETAMA,Potiretama,JAGUARIBANA,651.5,711.5,9.2
CONCEICAO,Hidrolândia,IBIAPABA,803.7,710.1,-11.7
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,708.3,-6.3
SANTO ANTONIO,Ararendá,IBIAPABA,318.4,708,122.3
MARCO,Marco,LITORAL NORTE,863.1,707.7,-18
NOVA RUSSAS,Nova Russas,IBIAPABA,779.7,707.6,-9.2
CRISTAIS,Cascavel,LITORAL DE FORTALEZA,721.8,705.6,-2.2
SENADOR POMPEU,Senador Pompeu,SERTAO CENTRAL E INHAMUNS,754.5,704.3,-6.7
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,704.1,-37.5
AC. ARARAS,Varjota,IBIAPABA,376.2,703.5,87
FURNAS,Aracoiaba,MACICO DE BATURITE,978.7,703.5,-28.1
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,703,-45.8
AQUINOPOLES,Jaguaribe,JAGUARIBANA,657.6,702,6.8
MINEIROLANDIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,744.9,702,-5.8
PENAFORTE,Penaforte,CARIRI,579,701.3,21.1
VILA ALECRIM,Potengi,SERTAO CENTRAL E INHAMUNS,0,701,0
PEDRA BRANCA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,813.7,700.2,-14
PORANGA,Poranga,IBIAPABA,582.4,700,20.2
NOVA FLORESTA,Jaguaribe,JAGUARIBANA,597.1,700,17.2
CHAVAL,Chaval,LITORAL NORTE,876.8,698.1,-20.4
CAPITAO MOR,Pedra Branca,SERTAO CENTRAL E INHAMUNS,0,697.1,0
MATRIZ,Ipueiras,IBIAPABA,1034.4,695.2,-32.8
SABOEIRO,Saboeiro,SERTAO CENTRAL E INHAMUNS,613.7,693.2,13
FEITICEIRO,Jaguaribe,JAGUARIBANA,537.5,691.8,28.7
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,691.5,-19.3
CANAUNA,Ipaumirim,CARIRI,847.9,690.4,-18.6
ALTO SANTO,Alto Santo,JAGUARIBANA,733.3,689.7,-5.9
NENELANDIA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,683.6,0
MOMBACA,Mombaça,SERTAO CENTRAL E INHAMUNS,766.1,681.2,-11.1
CANINDEZINHO,Nova Russas,IBIAPABA,448.4,677,51
SITIO SEVERO,Jaguaribe,JAGUARIBANA,488.8,677,38.5
FLORES,Ipu,IBIAPABA,690.5,675.5,-2.2
GURIU,Camocim,LITORAL NORTE,348.5,675.3,93.8
UIRAPONGA,Morada Nova,JAGUARIBANA,622.3,673.9,8.3
SITIO FORQUILHA - COGERH,Beberibe,LITORAL DE FORTALEZA,598.6,672.5,12.4
FAZENDA LOGRADOURO,São João do Jaguaribe,JAGUARIBANA,587.6,672,14.4
RANCHO AGUA FRIA,Ibiapina,IBIAPABA,0,670,0
FIGUEIREDO,Catarina,SERTAO CENTRAL E INHAMUNS,0,667,0
AIUABA,Aiuaba,SERTAO CENTRAL E INHAMUNS,572.7,666.8,16.4
DOM LEME,Santana do Cariri,CARIRI,0,666.6,0
ITAPAJE,Itapajé,LITORAL DE PECEM,856.4,664,-22.5
FECHADO,Catarina,SERTAO CENTRAL E INHAMUNS,0,664,0
ARUARU,Morada Nova,JAGUARIBANA,521.8,663.2,27.1
PALMATORIA,Itapiúna,MACICO DE BATURITE,728,662.4,-9
BAIXA FRIA,Canindé,SERTAO CENTRAL E INHAMUNS,0,661,0
ARNEIROZ,Arneiroz,SERTAO CENTRAL E INHAMUNS,631.7,660.4,4.6
ASSARE,Assaré,SERTAO CENTRAL E INHAMUNS,688.2,654.5,-4.9
GAMELEIRA,Massapê,LITORAL NORTE,0,654.3,0
ALCANTARAS,Alcântaras,LITORAL NORTE,623.5,651.8,4.5
ESTACAO ECOLOGICA,Aiuaba,SERTAO CENTRAL E INHAMUNS,481.8,651.4,35.2
ACUDE BATENTE,Ocara,MACICO DE BATURITE,0,651,0
AEROPORTO(CRATEUS),Crateús,SERTAO CENTRAL E INHAMUNS,559.5,650,16.2
FAZENDA IEMEM,Mombaça,SERTAO CENTRAL E INHAMUNS,0,648.8,0
CRUZ,Cruz,LITORAL NORTE,869.7,646.5,-25.7
QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,706.4,646.1,-8.5
CANINDEZINHO,Potiretama,JAGUARIBANA,679.3,642,-5.5
BETANIA,Hidrolândia,IBIAPABA,672,639.1,-4.9
CHOROZINHO,Chorozinho,LITORAL DE FORTALEZA,833.7,638.8,-23.4
TRAPIA,Forquilha,IBIAPABA,573.5,638,11.2
BELA CRUZ,Bela Cruz,LITORAL NORTE,841.9,637,-24.3
QUIXERE,Quixeré,JAGUARIBANA,671.5,635.8,-5.3
PARAMOTI,Paramoti,LITORAL DE PECEM,688.6,635.1,-7.8
SITIOS NOVOS,Caucaia,LITORAL DE FORTALEZA,551.4,635,15.2
POTENGI,Potengi,SERTAO CENTRAL E INHAMUNS,682.9,631,-7.6
SITIO FAVEIRA,São Benedito,IBIAPABA,675.3,630.2,-6.7
AC. AMANARY,Maranguape,LITORAL DE FORTALEZA,48.7,628.5,1190.6
BRUM,Jaguaribe,JAGUARIBANA,0,625.2,0
JUREMA,Paramoti,LITORAL DE PECEM,0,625,0
LAGOA DA SERRA,Morada Nova,JAGUARIBANA,764.8,624.8,-18.3
SAO LUIS DO CURU,São Luís do Curu,LITORAL DE PECEM,812.5,622.5,-23.4
SITIO TIMBAUBA MACORE,Russas,JAGUARIBANA,716.3,620.3,-13.4
NOVO ORIENTE,Novo Oriente,SERTAO CENTRAL E INHAMUNS,718.5,620.3,-13.7
SANTA CRUZ,Amontada,LITORAL NORTE,0,619.4,0
UMIRIM,Umirim,LITORAL DE PECEM,830.9,618.8,-25.5
QUIXABINHA,Mauriti,CARIRI,334.9,617.9,84.5
CARIUTABA,Farias Brito,CARIRI,774.9,617.7,-20.3
QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,706.2,617.3,-12.6
CAPIM 1,Groaíras,IBIAPABA,0,616.7,0
CATUNDA,Catunda,SERTAO CENTRAL E INHAMUNS,682.7,615.5,-9.9
ACUDE RIACHO DA SERRA,Alto Santo,JAGUARIBANA,0,615,0
SANTO ANTONIO DA PINDOBA,Ibiapina,IBIAPABA,0,613.5,0
LIMOEIRO,Guaraciaba do Norte,IBIAPABA,637.6,613,-3.9
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,612,-57.2
CASTANHAO,Alto Santo,JAGUARIBANA,664.5,611.2,-8
LOGRADOURO,Alto Santo,JAGUARIBANA,595.6,610,2.4
FAZENDA LACRAIA,Morada Nova,JAGUARIBANA,706.7,609,-13.8
ACUDE CIPOADA,Morada Nova,JAGUARIBANA,0,607.2,0
AC. PEDRAS BRANCAS,Quixadá,SERTAO CENTRAL E INHAMUNS,274.5,607,121.2
IBUGUACU,Granja,LITORAL NORTE,715,606.2,-15.2
PATOS,Morada Nova,JAGUARIBANA,635.9,605.5,-4.8
