Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
FAZENDA COLUMINJUBA,Maranguape,LITORAL DE FORTALEZA,331.4,2033,513.5
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,1797,38.6
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1780.9,22.6
TURURU,Tururu,LITORAL DE PECEM,866.8,1777.8,105.1
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,1769.2,28.9
IBIAPINA,Ibiapina,IBIAPABA,1599.6,1726.6,7.9
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1700.4,4.5
TIMONHA,Granja,LITORAL NORTE,1303.7,1629.3,25
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1618.8,40.7
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1594.3,69.6
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1576,3.5
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,1571.8,62.1
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1561.2,18
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1560.5,0
HOTEL VALE DAS NUVENS,Baturité,MACICO DE BATURITE,0,1545.7,0
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1536.8,50.4
PESSOA ANTA,Granja,LITORAL NORTE,1082,1535,41.9
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1532.8,17.3
GUAIUBA,Guaiúba,MACICO DE BATURITE,962.9,1527.5,58.6
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1507.2,16.8
LAMEIRO,Crato,CARIRI,1132.4,1498,32.3
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1481.5,8.8
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,1473,18.1
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,1469,32.9
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1459.2,6.1
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,1458,21
ACUDE MUNDAU,Uruburetama,LITORAL DE PECEM,0,1449.3,0
UBAJARA,Ubajara,IBIAPABA,1462.6,1445.4,-1.2
PACATUBA,Pacatuba,LITORAL DE FORTALEZA,1168.5,1425.1,22
DEFESA CIVIL DE FORTALEZA,Fortaleza,LITORAL DE FORTALEZA,0,1422.9,0
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1408,-4.4
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,1399,22.5
URUOCA,Uruoca,LITORAL NORTE,885.8,1382.4,56.1
POCO DOCE,Paracuru,LITORAL DE PECEM,0,1381.3,0
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1375.5,14.3
CASCUDO,Icó,JAGUARIBANA,681.6,1360,99.5
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1345,0
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1344.9,0
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,1342.9,32.9
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1333.8,-1.2
SITIO PILOES,Pacoti,MACICO DE BATURITE,0,1328,0
ACUDE ACARAPE DO MEIO,Redenção,MACICO DE BATURITE,0,1322.2,0
GRANJA,Granja,LITORAL NORTE,1099.4,1317.8,19.9
ACARAU,Acaraú,LITORAL NORTE,1083.6,1314.4,21.3
VARZEA DA CONCEICAO,Cedro,CARIRI,833,1293,55.2
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,1282.4,22.3
NOVA OLINDA,Nova Olinda,CARIRI,885.3,1278,44.4
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1277.7,9.1
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1275,-9.5
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1273,15.1
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,1271,37.1
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,1270.8,20.8
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,1260.3,0
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,1248.8,62.7
SANTA FE,Crato,CARIRI,238.3,1248,423.6
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1243.6,230.8
CACA E PESCA,Fortaleza,LITORAL DE FORTALEZA,0,1236.2,0
CAMARAO,Aratuba,MACICO DE BATURITE,0,1228.5,0
JAMACARU,Missão Velha,CARIRI,1037.5,1221.3,17.7
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1219.3,26.8
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,1218.3,8.4
CARACARA,Sobral,LITORAL NORTE,459.7,1211,163.4
CARIRIACU,Caririaçu,CARIRI,1048.9,1207,15.1
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1197,3
SITIO PITOMBEIRAS DE CRUZ,Cruz,LITORAL NORTE,0,1189.2,0
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1188.7,5.6
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1188.3,-15.2
AÇUDE VÁRZEA DA VOLTA,Moraújo,LITORAL NORTE,0,1185,0
CHAVAL,Chaval,LITORAL NORTE,876.8,1178.8,34.4
MILHA,Milhã,SERTAO CENTRAL E INHAMUNS,725.8,1177,62.2
PARACUA,Uruoca,LITORAL NORTE,961.8,1174.9,22.2
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1172,2.9
SAO ROMAO,Altaneira,CARIRI,0,1171,0
