Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
IBIAPINA,Ibiapina,IBIAPABA,1599.6,2346.6,46.7
TIMONHA,Granja,LITORAL NORTE,1303.7,2019.3,54.9
BARROQUINHA,Barroquinha,LITORAL NORTE,940,1784.7,89.9
PICI,Fortaleza,LITORAL DE FORTALEZA,1372.8,1771.7,29.1
PESSOA ANTA,Granja,LITORAL NORTE,1082,1771,63.7
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,1771,36.6
MORAUJO,Moraújo,LITORAL NORTE,1041.2,1766,69.6
MERUOCA,Meruoca,LITORAL NORTE,1523.5,1647,8.1
VICOSA DO CEARA,Viçosa do Ceará,IBIAPABA,1472.8,1635.9,11.1
UBAJARA,Ubajara,IBIAPABA,1462.6,1588.7,8.6
SIUPE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1546.6,0
GRANJA,Granja,LITORAL NORTE,1099.4,1503.7,36.8
PALMACIA,Palmácia,MACICO DE BATURITE,1349.6,1497.6,11
CASTELAO,Fortaleza,LITORAL DE FORTALEZA,1361.8,1479.4,8.6
SANTO AMARO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1479.4,0
PARACUA,Uruoca,LITORAL NORTE,961.8,1469.9,52.8
FUND.MA.NILVA(AGUA FRIA),Fortaleza,LITORAL DE FORTALEZA,1375.3,1464.8,6.5
GUARAMIRANGA,Guaramiranga,MACICO DE BATURITE,1627.4,1463.9,-10
EUSEBIO,Eusébio,LITORAL DE FORTALEZA,1408.2,1454,3.3
SAO MIGUEL,Mauriti,CARIRI,730.6,1446,97.9
BOA VISTA,Várzea Alegre,CARIRI,713.7,1407,97.2
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,1403.5,49.1
PARAZINHO,Granja,LITORAL NORTE,1031.5,1399,35.6
CAUCAIA,Caucaia,LITORAL DE FORTALEZA,1307.3,1393.3,6.6
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1386,24.3
PARQUE SAO JOAO,Maracanaú,LITORAL DE FORTALEZA,0,1382.2,0
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,1376.3,266.1
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,1366,5.8
PARAIPABA,Paraipaba,LITORAL DE PECEM,1203.3,1354.2,12.5
IBOREPI,Lavras da Mangabeira,CARIRI,1026,1354,32
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,1349.5,8.2
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1348.4,2
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,1346.2,33.2
AMERICA,Ipueiras,IBIAPABA,877.9,1343.4,53
MESSEJANA,Fortaleza,LITORAL DE FORTALEZA,1200.1,1341.5,11.8
SEMAN,Itaitinga,LITORAL DE FORTALEZA,0,1340.6,0
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,1330.6,68.2
LAMEIRO,Crato,CARIRI,1132.4,1328,17.3
MARANGUAPE,Maranguape,LITORAL DE FORTALEZA,1126,1320.2,17.3
CHAVAL,Chaval,LITORAL NORTE,876.8,1320,50.5
TIANGUA,Tianguá,IBIAPABA,1253.5,1316.7,5
AQUIRAZ,Aquiraz,LITORAL DE FORTALEZA,1401.3,1305.7,-6.8
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1301.1,17.7
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,1298.4,27.1
TRAIRI,Trairi,LITORAL DE PECEM,1139.4,1296.6,13.8
MARACANAU,Maracanaú,LITORAL DE FORTALEZA,1162.7,1295.4,11.4
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,1293.9,90.2
PARIPUEIRA,Beberibe,LITORAL DE FORTALEZA,674.8,1293.8,91.7
PACOTI,Pacoti,MACICO DE BATURITE,1453.1,1290,-11.2
BOTIJA,Guaramiranga,MACICO DE BATURITE,0,1285.7,0
SITIO SAPUCAIA FAGUNDES,Aquiraz,LITORAL DE FORTALEZA,0,1285,0
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1282.5,27.8
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1281.5,11.4
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,1280.8,29.1
CAMPANARIO,Uruoca,LITORAL NORTE,1000,1280.3,28
SITIO TIPI,Aurora,CARIRI,676.2,1272.5,88.2
ICAPUI,Icapuí,JAGUARIBANA,942.3,1253,33
SERRA BRAVA,Milagres,CARIRI,0,1250.1,0
PANACUI,Marco,LITORAL NORTE,742.2,1247.4,68.1
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1243.8,6.2
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,1234.6,9.5
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,1230.6,0
BREJINHO,Barro,CARIRI,839.1,1226.8,46.2
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1225.8,0
BARBALHA,Barbalha,CARIRI,1055,1220.6,15.7
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1208.8,6.1
SÃO JOÃO,Ererê,JAGUARIBANA,831.2,1208,45.3
FARIAS BRITO,Farias Brito,CARIRI,996.4,1207.6,21.2
SAMBAIBA,Granja,LITORAL NORTE,1032.1,1206.9,16.9
GRACA,Graça,IBIAPABA,1033.3,1205.5,16.7
