Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
POCO GRANDE,Jucás,CARIRI,565.1,N.I.,N.I.
PONTA DA SERRA,Crato,CARIRI,809,N.I.,N.I.
DOM QUINTINO,Crato,CARIRI,734.5,N.I.,N.I.
SITIO TRANQUEIRA,Lavras da Mangabeira,CARIRI,0,N.I.,N.I.
QUIXABINHA,Mauriti,CARIRI,334.9,N.I.,N.I.
MARARUPA,Mauriti,CARIRI,619.1,N.I.,N.I.
SERRA BRAVA,Milagres,CARIRI,0,N.I.,N.I.
COMUNIDADE VALDIVINO,Milagres,CARIRI,0,N.I.,N.I.
SITIO SACO,Milagres,CARIRI,0,N.I.,N.I.
AGUA VERMELHA,Milagres,CARIRI,0,N.I.,N.I.
DOM LEME,Santana do Cariri,CARIRI,0,N.I.,N.I.
SANTA VITORIA - LAGES,Aurora,CARIRI,0,N.I.,N.I.
LAGEDO,Cedro,CARIRI,618.6,N.I.,N.I.
EMATERCE,Cedro,CARIRI,0,N.I.,N.I.
JUCA,Cariré,IBIAPABA,0,N.I.,N.I.
CACIMBAS,Cariré,IBIAPABA,0,N.I.,N.I.
CONCEICAO,Hidrolândia,IBIAPABA,803.7,N.I.,N.I.
SANTO ANTONIO DA PINDOBA,Ibiapina,IBIAPABA,0,N.I.,N.I.
DAMIAO,Ipu,IBIAPABA,0,N.I.,N.I.
MARRUAS DOS PAIVA,Ipu,IBIAPABA,0,N.I.,N.I.
NOVA BETANIA,Nova Russas,IBIAPABA,760.2,N.I.,N.I.
LAGOA DE SANTO ANTONIO,Ararendá,IBIAPABA,0,N.I.,N.I.
SITIO INHARE,São Benedito,IBIAPABA,0,N.I.,N.I.
SITIO CHAPADINHA,São Benedito,IBIAPABA,0,N.I.,N.I.
AEROPORTO,São Benedito,IBIAPABA,0,N.I.,N.I.
TABAINHA,Tianguá,IBIAPABA,939.7,N.I.,N.I.
CASTANHAO,Alto Santo,JAGUARIBANA,664.5,N.I.,N.I.
CARAUBAS,Alto Santo,JAGUARIBANA,480.6,N.I.,N.I.
ACUDE RIACHO DA SERRA,Alto Santo,JAGUARIBANA,0,N.I.,N.I.
FEITICEIRO,Jaguaribe,JAGUARIBANA,537.5,N.I.,N.I.
AQUINOPOLES,Jaguaribe,JAGUARIBANA,657.6,N.I.,N.I.
SITIO SEVERO,Jaguaribe,JAGUARIBANA,488.8,N.I.,N.I.
ACUDE POTIRETAMA,Potiretama,JAGUARIBANA,0,N.I.,N.I.
PATOS,Morada Nova,JAGUARIBANA,635.9,N.I.,N.I.
ROLDAO,Morada Nova,JAGUARIBANA,652,N.I.,N.I.
ACUDE CIPOADA,Morada Nova,JAGUARIBANA,0,N.I.,N.I.
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,N.I.,N.I.
AÇUDE FIGUEIREDO,Iracema,JAGUARIBANA,0,N.I.,N.I.
SÃO JOÃO,Ererê,JAGUARIBANA,831.2,N.I.,N.I.
SÍTIO SÃO PEDRO,Jaguaretama,JAGUARIBANA,529.3,N.I.,N.I.
MONTE ALEGRE,Jaguaretama,JAGUARIBANA,244.9,N.I.,N.I.
GIQUI,Jaguaruana,JAGUARIBANA,564.3,N.I.,N.I.
SARGENTO,Jaguaruana,JAGUARIBANA,0,N.I.,N.I.
CORREGO ESPERANÇA,Palhano,JAGUARIBANA,0,N.I.,N.I.
LAGOA GRANDE,Russas,JAGUARIBANA,449.3,N.I.,N.I.
SITIO CAMPO LIMPO,Russas,JAGUARIBANA,0,N.I.,N.I.
BARRINHA,Icapuí,JAGUARIBANA,387.3,N.I.,N.I.
ACUDE MADEIRO,Pereiro,JAGUARIBANA,0,N.I.,N.I.
BARRA DE SITIA,Banabuiú,JAGUARIBANA,633.6,N.I.,N.I.
